iter	Passed	Remaining
0	150	150327
1	152	76262
2	154	51403
3	156	38921
4	158	31449
5	159	26453
6	161	22884
7	164	20398
8	166	18291
9	167	16595
10	169	15211
11	170	14063
12	172	13086
13	174	12268
14	176	11583
15	178	10948
16	179	10388
17	181	9888
18	182	9440
19	184	9033
20	186	8673
21	187	8356
22	189	8050
23	191	7774
24	192	7516
25	194	7281
26	195	7058
27	197	6854
28	200	6719
29	202	6555
30	204	6386
31	205	6228
32	207	6078
33	209	5940
34	212	5872
35	215	5757
36	217	5671
37	219	5555
38	220	5445
39	225	5407
40	227	5320
41	230	5254
42	232	5166
43	233	5076
44	237	5029
45	239	4971
46	241	4894
47	243	4821
48	245	4760
49	247	4697
50	249	4643
51	251	4590
52	254	4550
53	256	4491
54	257	4432
55	261	4416
56	263	4365
57	265	4314
58	267	4263
59	268	4213
60	270	4164
61	273	4139
62	275	4103
63	277	4059
64	279	4019
65	281	3978
66	282	3937
67	285	3915
68	288	3886
69	290	3860
70	292	3822
71	293	3785
72	295	3750
73	299	3745
74	301	3713
75	302	3679
76	304	3646
77	306	3618
78	307	3587
79	310	3571
80	312	3549
81	314	3524
82	317	3503
83	320	3490
84	325	3505
85	327	3485
86	330	3465
87	332	3449
88	338	3465
89	340	3440
90	343	3426
91	345	3405
92	346	3380
93	350	3379
94	352	3362
95	354	3339
96	356	3315
97	357	3293
98	359	3272
99	362	3262
100	364	3243
101	366	3222
102	368	3206
103	369	3186
104	371	3166
105	374	3156
106	376	3140
107	377	3121
108	379	3103
109	381	3085
110	382	3067
111	384	3049
112	388	3047
113	390	3033
114	391	3010
115	392	2993
116	394	2976
117	396	2960
118	399	2955
119	401	2940
120	402	2926
121	404	2912
122	406	2895
123	407	2879
124	409	2864
125	412	2859
126	414	2849
127	416	2840
128	419	2830
129	421	2820
130	423	2806
131	425	2800
132	427	2789
133	430	2779
134	431	2767
135	434	2757
136	437	2753
137	438	2741
138	440	2728
139	442	2716
140	443	2703
141	445	2691
142	446	2678
143	449	2673
144	451	2661
145	452	2649
146	454	2636
147	455	2624
148	457	2613
149	459	2601
150	460	2589
151	463	2585
152	465	2575
153	466	2563
154	468	2552
155	469	2541
156	471	2531
157	473	2523
158	476	2521
159	478	2514
160	480	2504
161	482	2494
162	483	2484
163	485	2474
164	488	2471
165	489	2461
166	491	2451
167	492	2441
168	494	2432
169	496	2421
170	497	2412
171	499	2402
172	501	2395
173	502	2386
174	504	2377
175	506	2369
176	507	2360
177	508	2347
178	510	2340
179	513	2339
180	515	2333
181	518	2329
182	519	2320
183	521	2311
184	522	2303
185	525	2300
186	527	2291
187	528	2284
188	530	2276
189	532	2268
190	533	2260
191	535	2253
192	538	2250
193	540	2244
194	541	2236
195	543	2228
196	544	2221
197	546	2213
198	548	2206
199	551	2205
200	552	2198
201	554	2192
202	556	2186
203	558	2180
204	560	2172
205	563	2170
206	565	2166
207	567	2161
208	570	2159
209	572	2152
210	573	2145
211	578	2148
212	579	2142
213	581	2135
214	583	2129
215	584	2122
